date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T)
2024-01-01,0.0,0.0,0.0
2024-01-02,23.12,14.14,16.14
2024-01-03,12.76,16.4,5.199999999999999
2024-01-04,37.04,11.82,8.73
2024-01-05,64.36,0.0,9.69
2024-01-06,22.61,3.0,6.79
2024-01-07,33.78,8.1,2.34
2024-01-08,13.49,8.36,10.13
2024-01-09,49.16,6.6899999999999995,3.38
2024-01-10,32.86,14.56,29.61
2024-01-11,15.059999999999999,7.36,0.0
2024-01-12,11.379999999999999,24.11,13.719999999999999
2024-01-13,35.13,6.31,24.8
2024-01-14,16.8,7.1,0.0
2024-01-15,11.4,33.43,3.3
2024-01-16,8.6,14.700000000000001,1.76
2024-01-17,12.5,4.7,17.78
2024-01-18,5.85,8.45,4.62
2024-01-19,50.09,19.47,0.0
2024-01-20,38.3,22.5,8.1
2024-01-21,21.1,7.9,23.05
2024-01-22,15.3,6.85,4.0
2024-01-23,11.8,2.75,3.1
2024-01-24,11.55,6.0,3.2
2024-01-25,7.3,4.9,3.4
2024-01-26,8.8,34.5,1.86
2024-01-27,10.549999999999999,22.5,1.45
2024-01-28,23.65,22.2,6.3
2024-01-29,11.8,12.7,5.3
2024-01-30,14.2,17.44,8.209999999999999
2024-01-31,2.0,5.25,0.0
2024-02-01,38.03,8.62,7.85
2024-02-02,11.35,49.95,1.85
2024-02-03,35.16,13.709999999999999,11.64
2024-02-04,77.5,0.0,18.65
2024-02-05,4.6,10.45,13.21
2024-02-06,26.0,21.95,18.03
2024-02-07,37.7,0.0,12.100000000000001
2024-02-08,7.7,4.1,7.4
2024-02-09,30.38,11.97,0.0
2024-02-10,16.48,24.95,1.12
2024-02-11,11.440000000000001,11.16,7.220000000000001
2024-02-12,33.03,11.06,4.34
2024-02-13,16.919999999999998,9.059999999999999,34.519999999999996
2024-02-14,0.0,0.0,0.0
2024-02-15,28.36,3.04,15.55
2024-02-16,19.18,5.47,14.24
2024-02-17,21.85,16.7,22.8
2024-02-18,18.2,14.7,7.050000000000001
2024-02-19,6.9399999999999995,4.01,2.18
2024-02-20,30.77,20.69,4.7
2024-02-21,7.1,6.72,2.33
2024-02-22,26.84,18.169999999999998,4.98
2024-02-23,45.66,9.07,13.96
2024-02-24,16.7,40.95,3.7
2024-02-25,28.2,17.1,1.9
2024-02-26,18.04,12.59,10.65
2024-02-27,61.2,0.0,1.05
2024-02-28,29.17,12.96,13.04
2024-02-29,53.18,3.87,5.19
2024-03-01,48.98,9.47,17.75
2024-03-02,34.08,9.04,15.5
2024-03-03,25.0,9.9,1.9
2024-03-04,30.9,16.259999999999998,0.0
2024-03-05,4.62,12.66,3.39
2024-03-06,30.39,3.99,0.0
2024-03-07,58.92,0.0,15.12
2024-03-08,18.990000000000002,4.21,1.88
2024-03-09,61.9,16.0,6.75
2024-03-10,98.3,60.1,41.6
2024-03-11,51.37,2.21,0.0
2024-03-12,0.0,0.0,0.0
2024-03-13,3.3,17.7,4.3
2024-03-14,29.299999999999997,8.620000000000001,10.719999999999999
2024-03-15,24.72,10.280000000000001,16.05
2024-03-16,16.68,10.53,0.0
2024-03-17,32.43,10.08,40.42
2024-03-18,18.479999999999997,4.22,17.94
2024-03-19,44.17,16.33,0.0
2024-03-20,19.57,4.79,3.81
2024-03-21,28.450000000000003,10.45,5.32
2024-03-22,23.130000000000003,25.43,9.23
2024-03-23,28.310000000000002,14.1,16.28
2024-03-24,2.7,8.100000000000001,0.0
2024-03-25,34.76,6.3,0.0
2024-03-26,61.9,8.11,26.53
2024-03-27,28.9,4.43,6.07
2024-03-28,10.99,10.629999999999999,0.97
2024-03-29,5.5,27.5,5.7
2024-03-30,14.8,17.4,16.2
2024-03-31,34.73,20.46,7.22
2024-04-01,18.32,18.75,15.99
2024-04-02,22.15,5.75,6.24
2024-04-03,18.61,7.84,11.44
2024-04-04,25.68,11.29,0.0
2024-04-05,21.65,14.25,0.0
2024-04-06,36.08,11.120000000000001,0.85
2024-04-07,18.85,24.12,6.86
2024-04-08,16.560000000000002,23.13,6.44
2024-04-09,16.57,21.61,5.09
2024-04-10,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0
2024-04-15,3.1,6.51,11.3
2024-04-16,11.9,4.84,2.89
2024-04-17,20.19,39.66,2.28
2024-04-18,24.86,14.57,14.51
2024-04-19,7.5,6.2,3.65
2024-04-20,31.29,29.33,0.0
2024-04-21,23.770000000000003,17.25,3.96
2024-04-22,14.07,5.84,4.43
2024-04-23,14.87,8.51,11.77
2024-04-24,31.94,9.27,0.0
2024-04-25,58.27,6.01,23.51
2024-04-26,12.31,5.93,1.79
2024-04-27,36.93,30.44,5.550000000000001
2024-04-28,3.2,21.2,1.8
2024-04-29,16.5,18.4,18.59
2024-04-30,45.69,11.02,15.209999999999999
2024-05-01,9.5,9.5,3.2
2024-05-02,24.64,7.73,6.78
2024-05-03,41.05,10.89,4.27
2024-05-04,51.92,2.78,8.61
2024-05-05,34.269999999999996,21.72,0.0
2024-05-06,10.870000000000001,6.16,0.89
2024-05-07,33.15,5.71,7.56
2024-05-08,33.85,14.760000000000002,11.309999999999999
2024-05-09,35.519999999999996,6.12,17.310000000000002
2024-05-10,34.71,23.64,1.86
2024-05-11,18.5,7.92,8.530000000000001
2024-05-12,38.23,9.45,19.880000000000003
2024-05-13,24.68,23.4,1.01
2024-05-14,34.09,4.22,3.99
2024-05-15,26.37,6.4,14.27
2024-05-16,57.34,11.51,0.0
2024-05-17,13.26,14.39,5.95
2024-05-18,1.5,4.0,6.92
2024-05-19,59.64,0.0,6.88
2024-05-20,43.95,10.73,1.8
2024-05-21,36.55,10.02,3.52
2024-05-22,9.36,24.37,0.0
2024-05-23,27.759999999999998,17.1,8.81
2024-05-24,19.4,24.96,2.91
2024-05-25,31.67,15.05,18.61
2024-05-26,8.82,7.11,1.48
2024-05-27,24.1,10.91,8.45
2024-05-28,4.65,6.84,1.73
2024-05-29,20.38,7.92,8.59
2024-05-30,39.64,2.01,16.49
2024-05-31,36.43,13.39,16.619999999999997
2024-06-01,47.51,12.030000000000001,14.02
2024-06-02,55.76,11.030000000000001,9.190000000000001
2024-06-03,48.870000000000005,8.68,2.48
2024-06-04,46.23,13.67,4.56
2024-06-05,85.79,0.0,0.0
2024-06-06,35.03,10.29,8.8
2024-06-07,48.230000000000004,0.0,2.5
2024-06-08,40.28,23.59,4.42
2024-06-09,17.439999999999998,10.29,2.85
2024-06-10,16.48,7.07,2.91
2024-06-11,42.49,13.969999999999999,0.0
2024-06-12,32.120000000000005,16.53,26.89
2024-06-13,14.4,10.91,2.58
2024-06-14,50.29,5.22,3.83
2024-06-15,12.799999999999999,23.74,8.85
2024-06-16,35.65,0.0,16.28
2024-06-17,0.0,0.0,0.0
2024-06-18,14.809999999999999,8.64,7.84
2024-06-19,49.93,22.46,0.0
2024-06-20,33.61,14.94,0.0
2024-06-21,31.310000000000002,9.26,6.22
2024-06-22,36.4,13.47,8.21
2024-06-23,20.740000000000002,14.51,9.54
2024-06-24,36.06,11.43,8.47
2024-06-25,8.809999999999999,24.27,5.56
2024-06-26,37.53,16.48,0.0
2024-06-27,53.59,17.400000000000002,2.52
2024-06-28,45.370000000000005,14.0,0.0
2024-06-29,12.71,3.3499999999999996,9.71
2024-06-30,41.15,8.97,19.39
2024-07-01,23.9,11.0,2.6
2024-07-02,14.0,8.5,9.7
2024-07-03,16.6,21.5,6.8
2024-07-04,18.0,5.7,4.2
2024-07-05,22.0,0.0,3.3
2024-07-06,15.9,2.1,4.8
2024-07-07,28.400000000000002,6.9,2.0
2024-07-08,17.2,10.6,12.8
2024-07-09,25.8,3.5,1.8
2024-07-10,13.2,5.8999999999999995,11.799999999999999
2024-07-11,13.899999999999999,6.800000000000001,0.0
2024-07-12,5.5,11.6,6.6
2024-07-13,17.2,3.0999999999999996,12.2
2024-07-14,18.8,14.4,0.0
2024-07-15,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0
2024-07-17,18.4,16.6,9.8
2024-07-18,19.1,15.0,4.8
2024-07-19,22.5,2.7,8.3
2024-07-20,5.4,7.8,4.300000000000001
2024-07-21,17.1,6.7,0.0
2024-07-22,36.3,6.7,9.6
2024-07-23,17.5,3.9000000000000004,2.4
2024-07-24,17.5,9.2,9.2
2024-07-25,19.8,6.6,4.8
2024-07-26,24.900000000000002,0.0,6.8999999999999995
2024-07-27,33.6,3.6,0.0
2024-07-28,14.0,5.3,0.8
2024-07-29,20.3,9.7,2.1
2024-07-30,25.8,4.7,0.0
2024-07-31,26.7,6.0,3.7
2024-08-01,6.3,15.8,7.300000000000001
2024-08-02,20.3,18.1,0.0
2024-08-03,19.6,4.4,4.0
2024-08-04,14.399999999999999,13.2,4.1
2024-08-05,20.9,8.200000000000001,6.9
2024-08-06,23.8,0.0,5.7
2024-08-07,26.099999999999998,4.8,4.8
2024-08-08,10.7,8.899999999999999,7.300000000000001
2024-08-09,27.0,0.0,8.7
2024-08-10,22.0,19.5,0.0
2024-08-11,20.3,8.0,0.0
2024-08-12,7.6,11.6,0.5
2024-08-13,9.600000000000001,9.3,6.0
2024-08-14,21.9,7.4,2.9
2024-08-15,8.7,4.699999999999999,17.9
2024-08-16,22.9,2.5,12.600000000000001
2024-08-17,0.0,0.0,0.0
2024-08-18,12.8,3.6,9.5
2024-08-19,31.9,0.0,14.2
2024-08-20,18.8,25.8,5.0
2024-08-21,15.299999999999999,8.8,4.7
2024-08-22,15.8,10.6,2.4
2024-08-23,14.7,14.0,4.8
2024-08-24,17.6,12.0,3.3
2024-08-25,21.1,4.2,6.5
2024-08-26,3.7,9.2,6.7
2024-08-27,200.0,0.0,0.0
2024-08-28,15.1,9.3,4.9
2024-08-29,13.0,9.0,7.6
2024-08-30,31.4,0.0,0.5
2024-08-31,17.7,7.9,7.8999999999999995
2024-09-01,16.9,1.2,1.6
2024-09-02,18.4,3.5,6.7
2024-09-03,0.0,0.0,0.0
2024-09-04,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0
2024-09-06,17.6,4.7,8.0
2024-09-07,19.900000000000002,5.5,2.8
2024-09-08,33.5,17.7,0.0
2024-09-09,8.1,21.9,5.9
2024-09-10,18.3,2.5,0.0
2024-09-11,9.5,0.0,2.5
2024-09-12,25.3,5.6,2.5
2024-09-13,30.0,6.5,9.0
2024-09-14,32.0,7.4,0.0
2024-09-15,27.5,1.2,0.0
2024-09-16,15.5,6.6,0.0
2024-09-17,18.8,5.4,6.8
2024-09-18,18.0,7.5,11.6
2024-09-19,17.1,10.799999999999999,0.0
2024-09-20,8.7,2.7,10.9
2024-09-21,11.3,2.6,10.9
2024-09-22,29.700000000000003,11.0,0.0
2024-09-23,25.7,6.3,5.0
2024-09-24,14.9,5.5,2.8
2024-09-25,11.8,12.9,4.7
2024-09-26,15.8,7.9,9.1
2024-09-27,23.3,11.2,0.0
2024-09-28,34.7,6.3,0.0
2024-09-29,15.9,2.1,6.8
2024-09-30,33.5,5.1,7.1
2024-10-01,16.0,15.5,1.4
2024-10-02,16.1,8.700000000000001,3.7
2024-10-03,18.0,9.3,0.0
2024-10-04,13.7,8.2,2.9
2024-10-05,10.8,11.1,9.4
2024-10-06,26.7,7.0,7.5
2024-10-07,9.200000000000001,3.9000000000000004,5.6
2024-10-08,17.2,7.6,0.0
2024-10-09,27.200000000000003,17.9,0.0
2024-10-10,30.8,9.5,0.7
2024-10-11,9.7,12.3,3.5
2024-10-12,8.2,11.5,3.2
2024-10-13,15.0,19.6,4.6
2024-10-14,20.3,10.8,0.0
2024-10-15,16.7,6.8,4.1
2024-10-16,10.4,20.5,1.2
2024-10-17,9.7,5.7,5.699999999999999
2024-10-18,15.7,13.0,7.7
2024-10-19,12.0,11.4,0.0
2024-10-20,21.9,15.899999999999999,3.7
2024-10-21,13.5,5.6000000000000005,4.199999999999999
2024-10-22,13.2,7.6,10.4
2024-10-23,11.0,3.2,0.0
2024-10-24,20.8,2.1,8.4
2024-10-25,20.1,9.6,3.0
2024-10-26,15.6,12.8,2.3
2024-10-27,13.0,17.7,2.8
2024-10-28,11.3,12.6,12.8
2024-10-29,150.0,20.0,10.0
2024-10-30,19.7,4.7,6.6
2024-10-31,20.7,1.1,5.8
2024-11-01,22.5,7.0,6.2
2024-11-02,26.3,6.9,2.7
2024-11-03,33.1,1.8,5.5
2024-11-04,17.8,11.3,0.0
2024-11-05,18.5,10.5,1.5
2024-11-06,24.8,4.300000000000001,5.6
2024-11-07,25.6,11.2,8.600000000000001
2024-11-08,19.2,3.3,9.3
2024-11-09,10.3,7.0,0.6
2024-11-10,16.3,7.0,7.6
2024-11-11,9.7,2.4,5.0
2024-11-12,12.9,12.3,0.5
2024-11-13,29.2,3.6,3.5
2024-11-14,19.4,4.699999999999999,10.5
2024-11-15,23.6,4.7,0.0
2024-11-16,14.899999999999999,16.1,6.7
2024-11-17,29.7,8.1,3.9
2024-11-18,31.0,0.0,3.6
2024-11-19,34.699999999999996,8.399999999999999,1.4
2024-11-20,26.2,7.300000000000001,2.5
2024-11-21,8.3,21.6,0.0
2024-11-22,0.0,0.0,0.0
2024-11-23,19.6,11.9,6.199999999999999
2024-11-24,10.7,13.8,1.6
2024-11-25,15.2,7.2,8.9
2024-11-26,18.7,15.1,3.1
2024-11-27,27.4,12.3,9.6
2024-11-28,8.3,12.3,3.1
2024-11-29,23.4,9.0,9.9
2024-11-30,15.399999999999999,0.8,6.4
2024-12-01,23.9,11.0,2.6
2024-12-02,14.0,8.5,9.7
2024-12-03,18.900000000000002,10.5,4.0
2024-12-04,17.8,11.8,0.0
2024-12-05,20.9,2.3,3.7
2024-12-06,18.5,9.6,4.800000000000001
2024-12-07,16.2,13.8,2.3
2024-12-08,6.0,5.4,12.3
2024-12-09,18.7,3.7,4.0
2024-12-10,20.0,4.4,6.7
2024-12-11,11.3,12.8,13.899999999999999
2024-12-12,18.5,3.0999999999999996,8.5
2024-12-13,16.2,15.0,7.1
2024-12-14,23.5,2.1,3.0
2024-12-15,19.8,0.6,9.9
2024-12-16,25.2,0.0,3.0
2024-12-17,18.4,7.9,9.899999999999999
2024-12-18,25.9,11.9,8.8
2024-12-19,28.0,3.1,2.2
2024-12-20,26.2,11.5,3.1999999999999997
2024-12-21,27.7,10.4,0.0
2024-12-22,24.9,13.2,6.9
2024-12-23,24.3,6.5,7.1
2024-12-24,38.0,23.55,4.9
2024-12-25,24.8,4.5,8.600000000000001
2024-12-26,21.1,8.1,2.0
2024-12-27,14.7,19.1,8.7
2024-12-28,20.4,14.0,10.0
2024-12-29,21.8,17.05,12.7
2024-12-30,25.45,12.7,12.7
2024-12-31,24.95,31.55,0.0
